,state,year,All Causes,Alzheimer's disease,CLRD,Cancer,Chronic liver disease and cirrhosis,Diabetes,Diseases of Heart,Essential hypertension and hypertensive renal disease,Homicide,Influenza and pneumonia,Kidney Disease,Parkinson's disease,Pneumonitis due to solids and liquids,Septicemia,Stroke,Suicide,Unintentional Injuries,All Causes_aadr,Alzheimer's disease_aadr,CLRD_aadr,Cancer_aadr,Chronic liver disease and cirrhosis_aadr,Diabetes_aadr,Diseases of Heart_aadr,Essential hypertension and hypertensive renal disease_aadr,Homicide_aadr,Influenza and pneumonia_aadr,Kidney Disease_aadr,Parkinson's disease_aadr,Pneumonitis due to solids and liquids_aadr,Septicemia_aadr,Stroke_aadr,Suicide_aadr,Unintentional Injuries_aadr,labor_force,labor_force_percent,employement,employement_percent,unemployement,unemployement_percent
184,Illinois,2003,105325,2626,4858,24464,1041,3044,29816,906,966,2875,2297,790,842,2057,6909,1011,3942,846,20,39,198,8,24,239,7,7,22,18,6,6,16,55,8,31,6310163,66.3,5884760,61.8,425402,6.7
185,Illinois,2004,102670,2595,4723,24289,1058,3069,28284,932,871,2779,2339,841,812,1997,6489,1028,4133,816,20,38,194,8,24,224,7,6,21,18,6,6,15,51,8,32,6347363,66.4,5955133,62.3,392230,6.2
186,Illinois,2005,103974,2827,5067,24250,1002,3034,28226,993,866,2949,2402,897,908,1943,6252,1086,4182,817,21,40,192,7,23,220,7,6,22,18,7,7,15,49,8,32,6410714,66.7,6044703,62.9,366010,5.7
187,Illinois,2006,102171,2794,4731,24084,1071,2795,27007,896,865,2668,2502,852,899,1999,5989,1010,4451,794,21,37,188,8,21,208,6,6,20,19,6,6,15,46,7,34,6515260,67.3,6215799,64.2,299461,4.6
188,Illinois,2007,100503,2734,4742,24115,1035,2851,25813,856,863,2550,2536,817,821,2099,5864,1108,4367,770,20,37,186,7,21,196,6,6,19,19,6,6,16,44,8,33,6640318,68.1,6303551,64.7,336766,5.1
189,Illinois,2008,103471,3192,5602,24300,1145,2846,26078,930,872,2672,2576,886,841,1968,5788,1198,4218,782,23,43,185,8,21,195,6,6,19,19,6,6,14,43,9,32,6653467,67.8,6220960,63.4,432506,6.5
190,Illinois,2009,100056,2891,5299,24185,1111,2741,24931,890,881,2416,2695,882,777,2000,5258,1177,3961,746,20,40,181,8,20,183,6,6,17,20,6,5,15,39,9,30,6603766,66.9,5930942,60.1,672823,10.2
191,Illinois,2010,99931,2927,5231,24070,1123,2507,24959,871,783,2212,2612,909,827,1858,5349,1178,3997,736,20,39,178,8,18,181,6,6,16,19,6,5,13,39,8,30,6609172,66.7,5916963,59.7,692208,10.5
192,Illinois,2011,101906,2910,5390,24007,1140,2693,24987,974,812,2424,2386,1023,877,1851,5372,1226,4166,737,20,39,175,8,19,178,6,6,17,17,7,6,13,38,9,31,6568428,66.0,5927033,59.6,641394,9.8
193,Illinois,2012,102433,2865,5313,24562,1189,2706,24667,954,832,2323,2392,1001,886,1703,5337,1292,4488,728,19,38,175,8,19,172,6,6,16,16,7,6,12,37,9,33,6584903,65.9,5988960,59.9,595943,9.0
194,Illinois,2013,103401,2919,5532,24491,1279,2798,24839,1049,792,2441,2444,1044,844,1697,5294,1321,4511,724,19,39,171,8,19,170,7,6,16,17,7,5,11,36,9,33,6558246,65.4,5963896,59.5,594350,9.1
195,Indiana,1999,55303,1106,3053,12898,444,1591,16661,334,386,1362,1022,335,311,795,4057,628,2309,934,18,51,217,7,26,282,5,6,23,17,5,5,13,69,10,38,3122541,68.3,3030463,66.3,92077,2.9
196,Indiana,2000,55469,1209,3052,12842,490,1673,16210,358,367,1270,1084,417,461,805,4247,683,2139,929,20,51,214,8,28,272,6,5,21,18,7,7,13,71,11,35,3126253,67.9,3030937,65.9,95316,3.1
197,Indiana,2001,55198,1231,3136,12831,459,1677,15682,396,437,1184,1149,407,419,795,3877,715,2185,912,20,52,211,7,27,259,6,7,19,19,6,6,13,64,11,35,3143224,67.9,3010259,65.0,132964,4.2
198,Indiana,2002,55396,1475,3138,12865,514,1688,15321,424,385,1360,1222,369,414,831,3717,743,2148,906,24,51,209,8,27,250,6,6,22,20,6,6,13,60,12,34,3162310,67.9,2998596,64.4,163713,5.2
199,Indiana,2003,55968,1515,3264,12933,479,1731,15467,407,347,1365,1235,469,451,851,3627,736,2196,902,24,52,207,7,27,249,6,5,22,20,7,7,13,58,11,35,3177829,67.8,3010517,64.2,167311,5.3
200,Indiana,2004,54211,1552,3145,12552,509,1673,14636,523,332,1136,1244,413,404,820,3454,704,2395,864,24,50,199,7,26,233,8,5,18,19,6,6,13,55,11,38,3164744,67.1,2993457,63.5,171287,5.4
201,Indiana,2005,55675,1651,3471,12796,496,1719,14542,595,368,1317,1284,443,421,826,3296,745,2480,874,26,54,199,7,26,227,9,5,20,20,7,6,12,51,11,39,3202414,67.4,3030019,63.8,172395,5.4
202,Indiana,2006,55622,1696,3291,12903,510,1682,14375,533,375,1129,1372,433,464,832,3238,824,2480,856,26,51,197,7,25,220,8,5,17,21,6,7,12,49,13,38,3235491,67.5,3074291,64.1,161199,5.0
203,Indiana,2007,54000,1663,3227,12778,489,1564,13682,517,374,1098,1293,460,418,835,3083,790,2499,817,25,49,192,7,23,205,7,5,16,19,7,6,12,46,12,38,3203147,66.2,3055176,63.2,147970,4.6
204,Indiana,2008,56752,1971,3878,13137,523,1683,13663,484,323,1318,1363,504,436,810,3114,809,2558,843,29,58,194,7,24,201,7,5,19,20,7,6,12,46,12,39,3245683,66.6,3052751,62.6,192932,5.9
205,Indiana,2009,55973,1884,3745,13093,555,1646,13509,455,341,1191,1442,479,400,832,3004,828,2577,820,27,55,190,7,24,196,6,5,17,21,7,5,12,44,12,39,3216883,65.6,2881483,58.7,335400,10.4
206,Indiana,2010,56743,1940,3794,13164,634,1587,13388,454,315,1175,1516,485,445,874,3082,864,2534,820,27,55,188,8,22,191,6,4,16,21,7,6,12,44,13,38,3175507,64.0,2855540,57.5,319966,10.1
207,Indiana,2011,58202,2058,4064,13180,680,1808,13372,547,314,1031,1367,496,459,917,3127,881,2699,825,28,57,185,9,25,187,7,4,14,19,7,6,12,44,13,40,3188446,63.7,2904335,58.0,284111,8.9
208,Indiana,2012,59332,2038,3962,13368,744,1860,13675,599,345,973,1221,552,498,950,3073,940,2776,827,28,55,184,10,25,188,8,5,13,16,7,6,13,42,14,41,3173141,63.0,2912230,57.9,260910,8.2
209,Indiana,2013,60716,2104,4266,13258,752,1943,13773,651,400,1132,1352,555,449,1024,2996,944,2898,832,28,58,179,10,26,186,8,6,15,18,7,6,14,40,14,43,3192664,63.1,2953456,58.3,239208,7.5
210,Iowa,1999,28411,706,1643,6346,209,684,8699,176,53,1082,226,199,221,248,2317,305,1123,806,18,46,189,6,19,240,4,1,28,6,5,5,6,62,10,35,1593882,71.7,1551329,69.7,42553,2.7
211,Iowa,2000,28060,769,1512,6448,191,630,8559,180,58,937,313,202,263,226,2187,289,1070,794,19,42,191,6,18,236,4,2,24,8,5,6,6,58,9,33,1594528,71.4,1551603,69.5,42924,2.7
212,Iowa,2001,27791,863,1552,6404,214,709,8250,204,61,877,220,218,225,279,2218,304,1051,780,21,43,188,6,20,225,5,2,22,6,5,5,8,59,10,32,1610626,71.9,1556990,69.5,53636,3.3
213,Iowa,2002,27978,899,1580,6473,220,734,8181,178,56,942,261,250,261,231,2226,314,1093,779,22,44,189,6,20,221,4,1,24,7,6,6,6,58,10,33,1628820,72.5,1563947,69.6,64872,4.0
214,Iowa,2003,28062,887,1674,6469,200,727,7840,234,50,1032,241,237,259,210,2081,352,1164,776,22,46,187,6,20,210,5,1,26,6,6,6,5,54,11,35,1607724,71.4,1536370,68.2,71353,4.4
215,Iowa,2004,26897,968,1547,6340,188,700,7299,239,57,890,266,225,269,228,1960,343,1108,738,23,42,182,5,19,194,6,1,22,7,5,6,6,50,11,33,1607085,71.0,1534377,67.8,72707,4.5
216,Iowa,2005,27811,1082,1703,6453,215,727,7437,274,44,896,250,270,264,227,1902,333,1202,757,26,46,183,6,20,196,6,1,22,6,7,6,6,49,11,36,1628542,71.6,1558852,68.5,69689,4.3
217,Iowa,2006,27362,1121,1655,6359,167,804,7172,252,73,770,225,301,283,260,1718,334,1188,736,27,45,178,4,21,187,6,2,19,5,7,7,7,43,11,35,1655780,72.3,1594802,69.6,60977,3.7
218,Iowa,2007,27221,1202,1660,6376,239,767,6880,253,51,749,272,291,271,254,1686,322,1252,724,28,44,176,7,20,177,6,1,18,6,7,6,6,42,10,37,1662355,72.1,1600787,69.4,61567,3.7
219,Iowa,2008,28541,1332,1848,6424,217,764,7284,268,81,829,304,305,248,266,1732,380,1266,752,31,49,177,6,20,185,6,2,20,7,7,6,7,43,12,37,1682569,72.5,1612084,69.5,70485,4.2
220,Iowa,2009,27544,1265,1832,6249,260,702,6938,291,43,661,302,313,258,238,1635,361,1255,723,29,48,170,7,18,176,7,1,16,7,8,6,6,41,11,37,1677280,71.9,1570157,67.3,107122,6.4
221,Iowa,2010,27745,1411,1698,6358,277,733,6880,318,55,560,323,320,240,224,1537,372,1273,721,32,44,171,7,19,173,7,1,13,8,8,6,5,38,12,37,1674190,71.0,1571900,66.6,102290,6.1
222,Iowa,2011,28184,1406,1833,6481,244,770,6736,324,54,660,316,333,248,212,1432,422,1369,722,32,47,173,7,19,166,7,1,15,7,8,6,5,34,13,39,1670116,70.3,1575940,66.3,94175,5.6
223,Iowa,2012,28389,1336,1824,6438,291,692,7005,290,63,664,322,311,264,274,1422,383,1369,718,30,46,168,8,17,170,6,2,15,7,7,6,6,34,12,39,1660358,69.5,1576257,66.0,84101,5.1
224,Iowa,2013,28948,1252,1892,6509,308,747,6995,324,60,761,369,359,308,260,1409,447,1422,723,28,47,168,8,19,168,7,2,17,8,8,7,6,33,14,39,1676882,69.7,1597567,66.4,79314,4.7
225,Kansas,1999,24472,511,1386,5334,188,650,6975,160,137,676,390,171,176,268,1841,299,1126,848,16,48,192,7,22,237,5,5,22,13,5,5,9,61,11,40,1406817,70.7,1357635,68.2,49181,3.5
226,Kansas,2000,24717,630,1411,5223,175,668,6931,154,141,743,478,185,184,260,1830,325,1054,850,20,49,186,6,23,234,5,5,24,16,6,6,8,60,12,38,1402944,70.1,1349898,67.5,53045,3.8
227,Kansas,2001,24647,642,1444,5448,208,721,6716,180,143,561,498,214,184,283,1848,293,1156,844,20,50,193,7,25,225,5,5,18,16,7,6,9,60,10,41,1398345,69.4,1338610,66.5,59735,4.3
228,Kansas,2002,25021,755,1367,5362,187,765,6680,195,129,698,517,218,179,297,1845,345,1139,851,24,47,188,6,26,223,6,4,22,17,7,5,10,60,12,40,1419472,70.0,1347469,66.4,72003,5.1
229,Kansas,2003,24593,781,1443,5332,204,676,6491,179,121,694,531,239,195,302,1758,347,1089,829,24,49,185,7,23,214,5,4,22,17,7,6,10,57,12,38,1440784,70.6,1360895,66.7,79888,5.6
230,Kansas,2004,23818,769,1316,5312,206,690,6048,186,117,562,554,249,184,280,1611,370,1144,798,24,44,183,7,23,198,5,4,17,18,8,5,9,52,13,40,1458720,71.1,1378209,67.2,80510,5.5
231,Kansas,2005,24682,912,1567,5428,200,710,5960,187,106,730,517,279,165,253,1571,362,1149,816,28,52,185,6,23,192,5,3,23,16,9,5,8,50,13,40,1458359,70.6,1384460,67.0,73898,5.1
232,Kansas,2006,24553,830,1501,5343,224,749,5849,203,114,647,594,245,167,292,1489,379,1198,802,25,49,180,7,24,186,6,4,19,19,7,5,9,47,13,41,1467694,70.6,1402924,67.4,64770,4.4
233,Kansas,2007,24491,860,1476,5406,230,702,5749,173,115,665,554,239,185,286,1498,382,1205,787,25,48,179,7,22,180,5,4,20,17,7,5,9,46,13,41,1485363,70.9,1422267,67.8,63096,4.2
234,Kansas,2008,24975,961,1626,5294,242,706,5643,173,112,743,620,210,207,351,1574,337,1174,794,28,52,173,8,22,175,5,3,22,19,6,6,11,48,12,40,1493765,70.8,1424872,67.5,68893,4.6
235,Kansas,2009,24024,802,1580,5319,224,635,5294,158,128,594,556,250,173,354,1416,382,1273,757,23,50,171,7,20,162,4,4,17,17,7,5,11,43,13,42,1512963,71.1,1408582,66.2,104380,6.9
236,Kansas,2010,24502,825,1580,5377,244,655,5433,157,105,550,577,256,162,329,1370,401,1317,762,24,50,171,7,20,164,4,3,16,17,7,4,10,41,13,43,1500469,69.8,1396262,65.0,104206,6.9
237,Kansas,2011,25116,795,1647,5440,260,711,5327,163,123,647,574,289,183,368,1338,394,1333,767,22,51,170,8,22,158,4,4,18,17,8,5,11,39,13,43,1497807,69.3,1402091,64.9,95716,6.4
238,Kansas,2012,25145,789,1687,5429,250,639,5366,159,103,624,600,287,170,363,1343,502,1319,761,22,51,168,7,19,158,4,3,18,17,8,4,10,39,17,43,1490938,68.6,1405657,64.7,85280,5.7
239,Kansas,2013,25414,742,1673,5379,248,654,5364,218,117,715,594,307,203,364,1320,425,1359,757,20,50,163,7,19,156,6,4,20,17,9,5,10,38,14,44,1489830,68.2,1410945,64.6,78884,5.3
240,Kentucky,1999,39321,728,2327,8925,386,1133,12098,200,210,1198,685,180,296,571,2710,470,1730,1004,19,59,224,9,28,310,5,5,31,17,4,7,14,70,11,43,1947423,63.6,1860024,60.8,87399,4.5
241,Kentucky,2000,39504,845,2170,9207,370,1107,11936,219,204,1157,756,224,312,608,2637,521,1838,998,22,54,228,9,27,303,5,5,29,19,5,8,15,67,12,45,1957631,63.4,1876384,60.8,81247,4.1
242,Kentucky,2001,39861,966,2265,9358,387,1099,11808,192,221,1114,807,222,303,606,2557,495,1990,997,25,56,229,9,27,297,4,5,28,20,5,7,15,65,12,49,1953221,62.9,1851577,59.6,101643,5.2
243,Kentucky,2002,40697,1013,2401,9438,377,1265,11696,221,195,1236,813,224,320,606,2554,540,2090,1009,26,59,228,8,31,292,5,4,31,20,5,8,15,64,13,51,1945028,62.2,1832434,58.6,112593,5.8
244,Kentucky,2003,40241,1072,2391,9378,353,1296,11319,266,193,1033,838,263,300,565,2442,567,2270,986,27,58,223,8,31,279,6,4,26,20,6,7,13,61,13,55,1965518,62.3,1843910,58.4,121608,6.2
245,Kentucky,2004,38646,982,2265,9159,355,1195,10465,310,228,965,827,254,303,573,2339,560,2260,935,25,54,215,8,28,254,7,5,24,20,6,7,13,58,13,54,1970014,62.0,1861669,58.6,108344,5.5
246,Kentucky,2005,40223,1147,2578,9505,380,1187,10782,353,222,1021,912,267,310,585,2168,566,2405,954,28,60,219,8,27,257,8,5,24,21,6,7,13,52,13,57,1991368,62.1,1874755,58.5,116613,5.9
247,Kentucky,2006,40102,1153,2407,9394,359,1141,10353,326,192,927,922,265,350,630,2197,622,2446,932,28,55,211,7,26,241,7,4,22,21,6,8,14,51,14,57,2026300,62.4,1910099,58.8,116200,5.7
248,Kentucky,2007,40090,1198,2629,9692,390,1091,9916,294,213,897,994,255,349,680,2144,649,2372,915,28,59,214,8,24,227,6,4,20,22,6,8,15,49,15,55,2035511,62.2,1926147,58.8,109364,5.4
249,Kentucky,2008,41329,1370,2926,9589,367,1214,10061,338,240,943,993,296,327,675,2098,612,2379,926,32,65,207,7,26,225,7,5,21,22,6,7,15,47,13,55,2038822,61.6,1905795,57.6,133027,6.5
250,Kentucky,2009,41380,1345,2854,9634,420,1348,9728,285,212,1018,945,317,296,724,2064,592,2394,912,31,62,204,8,29,214,6,4,22,21,7,6,15,46,13,55,2065194,62.0,1842690,55.4,222504,10.8
251,Kentucky,2010,41983,1464,2779,9930,463,1212,9662,295,199,943,1079,296,330,709,1992,631,2632,915,33,59,208,9,26,210,6,4,21,23,6,7,15,44,14,60,2064406,61.6,1852447,55.3,211958,10.3
252,Kentucky,2011,42626,1459,3020,9733,471,1268,9905,287,188,961,971,322,331,684,2064,675,2608,910,32,64,200,9,26,209,6,4,20,20,7,7,14,44,15,59,2061205,61.1,1868146,55.4,193059,9.4
253,Kentucky,2012,43664,1506,3100,10012,545,1256,10024,341,236,879,933,318,301,660,2073,724,2741,916,33,64,201,10,25,208,7,5,18,19,7,6,13,44,16,61,2060292,60.8,1891236,55.8,169055,8.2
254,Kentucky,2013,43759,1462,3187,10085,558,1187,9971,319,202,919,991,337,334,685,1990,701,2513,899,31,64,199,10,24,203,6,4,19,20,7,7,13,41,15,55,2056652,60.3,1893497,55.5,163155,7.9
255,Louisiana,1999,41238,683,1610,9412,392,1687,12007,277,484,1008,911,211,211,708,2684,518,1940,1021,17,40,230,9,41,302,7,10,25,22,5,5,17,68,11,44,2025961,61.8,1925176,58.7,100784,5.0
256,Louisiana,2000,41138,811,1684,9400,366,1694,11629,278,600,972,920,197,205,776,2533,468,2006,1006,20,41,227,8,41,288,6,13,24,22,5,5,19,63,10,45,2026577,61.6,1922256,58.4,104320,5.2
257,Louisiana,2001,41757,957,1763,9517,327,1734,11474,248,541,941,993,229,204,758,2638,493,2029,1013,24,43,228,7,41,282,6,11,23,24,5,5,18,65,11,46,2026342,61.5,1912999,58.0,113342,5.6
258,Louisiana,2002,41984,1111,1696,9441,365,1774,11185,300,607,956,983,246,204,820,2595,499,2115,1008,28,41,222,8,42,272,7,13,23,23,6,5,20,63,11,48,2014526,60.9,1893792,57.2,120733,6.0
259,Louisiana,2003,42719,1184,1731,9533,356,1740,11540,356,602,915,1065,272,236,816,2526,461,2208,1013,30,41,221,7,40,277,8,13,22,25,6,5,19,61,10,49,2024411,60.9,1897125,57.0,127286,6.3
260,Louisiana,2004,42215,1267,1615,9434,363,1717,10852,351,602,913,1110,281,215,837,2489,537,2300,989,31,38,216,7,39,257,8,12,22,26,6,5,19,59,11,51,2029872,60.8,1914214,57.3,115658,5.7
261,Louisiana,2005,44355,1405,1906,9249,380,1695,11008,407,592,996,1187,298,245,858,2469,505,3072,1023,34,44,208,8,38,256,9,12,23,27,7,5,19,57,10,68,2077941,63.2,1930058,58.7,147883,7.1
262,Louisiana,2006,40045,1282,1687,8853,342,1536,10026,382,554,833,1074,282,209,771,2195,492,2422,960,32,40,206,7,36,241,9,12,20,26,7,5,18,53,11,56,2001406,62.6,1918914,60.0,82491,4.1
263,Louisiana,2007,39966,1324,1685,8736,357,1437,9947,395,627,870,1152,288,241,857,2147,522,2466,937,33,40,199,7,33,234,9,14,21,27,7,5,20,51,11,56,2026434,61.6,1943292,59.1,83141,4.1
264,Louisiana,2008,41220,1361,1896,9197,389,1332,10347,372,541,894,1195,254,247,831,2084,532,2409,946,33,44,205,8,30,238,8,12,21,27,6,5,19,48,12,54,2064997,61.6,1968672,58.7,96324,4.7
265,Louisiana,2009,40282,1336,1878,9098,382,1249,10169,332,573,891,1160,278,214,827,2061,490,2142,907,32,42,198,7,27,229,7,12,20,26,6,5,18,47,10,48,2068387,61.0,1927651,56.9,140736,6.8
266,Louisiana,2010,40667,1295,1939,9203,390,1205,10282,390,541,878,1218,265,204,836,1977,557,1999,903,30,43,197,7,26,229,8,12,20,27,6,4,18,44,12,44,2084849,60.7,1928123,56.1,156726,7.5
267,Louisiana,2011,40890,1406,1904,9233,386,1265,9781,378,549,851,1169,276,193,816,2071,573,2091,886,32,41,193,7,27,212,8,12,18,25,6,4,17,45,12,45,2080086,59.8,1925604,55.4,154482,7.4
268,Louisiana,2012,42320,1399,2074,9308,434,1290,10074,421,550,808,1138,280,233,858,2039,567,2362,898,31,44,190,8,26,213,8,12,17,24,6,5,18,43,12,51,2090238,59.7,1948835,55.6,141403,6.8
269,Louisiana,2013,43270,1505,2274,9419,503,1329,10346,454,552,892,1108,284,181,867,2098,583,2333,897,32,47,188,9,26,214,9,12,18,23,6,3,17,44,12,50,2101861,59.6,1967289,55.8,134572,6.4
270,Maine,1999,12261,429,751,3035,128,348,3418,73,25,287,191,85,74,116,879,175,458,865,29,52,214,9,24,238,5,2,19,13,5,5,8,61,13,34,669180,68.0,642407,65.3,26773,4.0
271,Maine,2000,12354,466,768,3070,124,357,3400,74,18,336,175,93,81,127,833,154,407,859,31,52,213,8,24,233,5,13,22,11,6,5,8,57,11,30,677436,68.1,654913,65.9,22523,3.3
272,Maine,2001,12421,471,800,3045,111,398,3272,84,21,269,208,103,85,122,822,161,490,848,31,54,208,7,27,220,5,1,17,14,6,5,8,55,12,36,674865,67.2,649548,64.6,25316,3.8
273,Maine,2002,12694,513,791,3206,116,404,3170,74,11,317,232,103,88,128,823,166,511,853,33,52,214,7,27,210,4,13,20,15,6,5,8,54,12,38,678708,66.8,648417,63.8,30291,4.5
274,Maine,2003,12540,467,782,3120,126,398,3106,87,17,327,265,98,97,136,802,137,516,829,30,51,205,8,26,203,5,13,21,17,6,6,8,52,9,37,684990,66.7,649742,63.3,35248,5.1
275,Maine,2004,12443,512,766,3124,121,382,2948,81,21,308,264,116,89,139,801,171,480,813,32,49,202,7,24,189,5,1,20,17,7,5,9,51,12,35,685844,66.2,653933,63.2,31911,4.7
276,Maine,2005,12868,476,830,3218,116,385,2941,76,22,352,250,131,102,131,693,175,579,828,29,53,204,7,24,186,4,1,22,15,8,6,8,43,12,41,695227,66.7,661175,63.4,34051,4.9
277,Maine,2006,12294,477,783,3089,147,343,2815,91,20,269,252,108,91,138,670,158,572,775,29,49,192,9,21,174,5,1,16,15,6,5,8,41,11,40,700844,66.7,667788,63.6,33056,4.7
278,Maine,2007,12493,470,728,3112,156,355,2852,74,26,236,269,120,90,130,664,191,584,771,28,44,189,9,21,172,4,2,14,16,7,5,7,40,13,41,699838,66.2,667097,63.1,32740,4.7
279,Maine,2008,12541,450,794,3093,138,344,2785,67,34,263,263,114,103,133,671,181,628,759,26,47,185,8,20,164,3,2,15,15,6,6,7,40,12,43,702126,66.1,664314,62.5,37811,5.4
280,Maine,2009,12594,466,821,3133,144,350,2674,83,30,251,272,127,105,132,647,197,602,752,26,48,185,8,20,156,4,2,14,16,7,6,7,38,13,40,697785,65.5,639273,60.0,58511,8.4
281,Maine,2010,12750,502,809,3248,154,376,2628,87,26,234,272,137,83,139,602,186,540,749,28,47,187,8,21,151,5,2,13,15,8,4,8,34,13,36,697749,65.0,639057,59.6,58691,8.4
282,Maine,2011,13001,481,842,3201,157,353,2648,81,29,302,257,130,90,122,630,235,574,752,26,48,182,8,20,149,4,2,16,14,7,5,7,35,16,38,698901,64.8,644884,59.7,54016,7.7
283,Maine,2012,12870,432,817,3226,149,380,2623,111,30,205,257,144,107,120,619,209,602,730,23,45,179,8,21,145,6,2,11,14,8,5,6,34,14,40,700834,64.7,650424,60.1,50409,7.2
284,Maine,2013,13547,401,902,3227,151,373,2807,97,30,258,252,177,101,155,620,245,644,754,21,49,175,8,20,152,5,2,14,13,9,5,8,33,17,42,704333,64.9,657259,60.6,47073,6.7
285,Maryland,1999,43089,681,1943,10143,481,1422,12080,316,531,1140,563,261,415,978,2892,435,1296,907,15,41,209,9,29,259,6,10,25,12,5,9,20,63,8,25,2770467,70.1,2674823,67.6,95644,3.5
286,Maryland,2000,43753,811,1927,10290,444,1515,12348,340,503,1116,594,266,402,972,2955,474,1182,908,17,40,209,8,31,261,7,9,24,12,5,8,20,63,8,23,2801499,70.1,2702613,67.7,98886,3.5
287,Maryland,2001,43839,948,1907,10322,481,1458,12310,342,555,928,593,334,418,986,2882,454,1339,888,20,39,205,8,29,253,7,10,19,12,7,8,20,60,8,25,2836137,70.0,2717226,67.1,118910,4.2
288,Maryland,2002,43970,866,1944,10395,443,1519,12008,379,540,1121,630,285,412,1023,2811,477,1332,872,18,39,202,8,30,242,7,10,23,12,5,8,20,57,8,25,2872825,69.9,2735451,66.6,137373,4.8
289,Maryland,2003,44499,865,1986,10292,436,1454,12164,378,557,1175,583,323,417,1098,2734,491,1432,864,17,39,196,7,28,239,7,10,23,11,6,8,21,54,8,26,2880283,69.3,2742247,66.0,138035,4.8
290,Maryland,2004,43232,905,1910,10168,419,1417,11346,443,533,1111,699,323,373,1063,2718,500,1412,823,18,37,190,7,26,218,8,9,21,13,6,7,20,53,8,26,2884578,68.6,2751687,65.4,132891,4.6
291,Maryland,2005,43892,958,1908,10371,459,1388,11594,435,576,1194,752,300,377,1085,2476,472,1376,818,18,36,190,7,25,217,8,10,22,14,5,7,20,47,8,24,2931630,68.9,2800381,65.8,131249,4.5
292,Maryland,2006,43582,915,1832,10350,408,1237,11268,378,568,1082,767,361,359,972,2365,495,1456,795,17,34,187,6,22,206,6,10,20,14,6,6,17,43,8,26,2984216,69.5,2859388,66.6,124827,4.2
293,Maryland,2007,43757,881,1901,10179,447,1301,11314,411,573,994,731,327,369,930,2364,518,1480,784,16,35,180,7,23,203,7,10,18,13,6,6,16,42,8,26,2989779,69.1,2878633,66.5,111146,3.7
294,Maryland,2008,43892,1016,1982,10360,408,1239,11157,441,523,1008,775,351,313,1000,2330,507,1465,769,18,35,180,6,21,195,7,9,17,13,6,5,17,41,8,25,3028385,69.5,2891045,66.4,137339,4.5
295,Maryland,2009,43843,937,2064,10412,429,1207,11210,427,457,976,803,343,281,1058,2288,551,1415,750,16,36,176,6,20,190,7,8,16,13,6,4,18,39,9,24,3050229,69.4,2819926,64.1,230302,7.6
296,Maryland,2010,43325,986,2039,10269,453,1191,10915,433,438,925,803,389,277,888,2279,502,1446,728,16,35,171,7,19,182,7,7,15,13,6,4,14,38,8,24,3078517,68.6,2837523,63.2,240994,7.8
297,Maryland,2011,43745,922,2050,10249,465,1297,10557,478,418,1036,713,436,312,803,2306,558,1569,715,15,34,166,7,21,171,7,7,17,11,7,5,13,37,9,26,3096908,68.0,2870546,63.0,226361,7.3
298,Maryland,2012,44477,906,1981,10525,454,1218,11023,465,408,986,704,425,300,918,2280,583,1696,709,14,32,165,6,19,174,7,7,15,11,7,4,14,36,9,27,3121324,67.8,2906879,63.2,214445,6.9
299,Maryland,2013,45689,919,2051,10609,455,1249,11244,452,421,1103,737,457,363,969,2315,569,1732,710,14,32,162,6,19,172,6,7,17,11,7,5,15,36,9,27,3129499,67.5,2925343,63.1,204156,6.5
300,Massachusetts,1999,55840,1182,2862,13853,590,1354,15871,374,133,1904,1127,422,471,885,3548,431,1303,814,16,41,206,9,19,228,5,2,26,16,5,6,12,50,6,19,3359701,68.6,3248959,66.4,110742,3.3
301,Massachusetts,2000,56681,1433,2925,14027,540,1361,15314,410,122,2078,1231,425,608,892,3669,387,1357,817,19,42,207,8,19,217,5,1,28,17,5,8,12,51,5,20,3340967,67.8,3246514,65.9,94453,2.8
302,Massachusetts,2001,56754,1533,2810,13750,556,1422,15144,389,246,1770,1207,451,633,956,3535,426,1506,811,20,40,201,8,20,213,5,3,24,17,6,8,13,49,6,22,3386427,68.1,3258080,65.5,128346,3.8
303,Massachusetts,2002,56928,1570,2745,13914,602,1423,14736,450,185,2087,1297,460,583,1019,3559,436,1413,806,21,38,201,8,20,205,6,2,28,18,6,7,14,49,6,20,3436281,68.6,3257060,65.1,179221,5.2
304,Massachusetts,2003,56291,1609,2765,13551,569,1424,14634,475,140,2019,1286,420,568,989,3407,433,1421,788,21,38,194,8,20,201,6,2,27,17,5,7,13,46,6,20,3418968,68.0,3223150,64.1,195817,5.7
305,Massachusetts,2004,54511,1673,2574,13337,536,1329,13824,455,175,1959,1250,419,562,963,3254,425,1366,758,21,35,190,7,18,188,6,2,26,17,5,7,13,44,6,19,3399677,67.4,3225977,64.0,173699,5.1
306,Massachusetts,2005,53874,1638,2647,13182,505,1271,13280,431,178,1935,1410,451,546,980,2977,480,1907,741,21,36,186,7,17,179,5,2,25,19,6,7,13,39,7,28,3385549,66.9,3223258,63.7,162290,4.8
307,Massachusetts,2006,53450,1560,2535,13407,508,1132,12947,424,183,1750,1406,421,529,900,2880,450,2214,726,19,34,187,7,15,171,5,2,22,18,5,6,12,38,6,32,3411600,67.0,3250525,63.8,161074,4.7
